page_id	type	depth_cjk	tables	judgement_table	counterexample	failure_diagnosis	reusable_artifact	learner_design	dup_rate	content_hash	manuscript_hash	projection_hash
TD-F05	reference	2486	4	True	True	True	True	True	0.0633	sha256:913e350e56b55171e550c1c23382bd68e9c38235c3429348853b9b2d116c57ce	sha256:df2096554a95db7839e429ca2dca0a86b3a50b6c9a497f6ded4bf00b16583045	sha256:bf0e42dcef4adc7324e39d5d1801b2dc887a7a477802005397bee6d185c759e2
TD-T26	project	2383	4	True	True	True	True	True	0.0694	sha256:097388da953bfa4f219d9250864c928137e6d61d083ab71c8edbb0247b08e1b8	sha256:8dcd7bcde971d9556fd0708248fffbba3067adeb0891fefd7e73fee7cfb8a545	sha256:0ebc8df851f715b5bb299d7d9edc132972d72df10540c0f670b04699882ab21c
TD-R01	reference	2529	4	True	True	True	True	True	0.0617	sha256:346ebfbb9abca3320311f299d9276a5294ba4afaae49b17293d2137fa77e2762	sha256:5a75bc1de89e961d95a2761436e4db8a27ac0b7c188e33304f6c5ec132282393	sha256:7cf30dfc00e15458c7331609d74f8e8e61c46345b05209a43f7f755fcce7f969
TD-AP01	guided-lab	2598	5	True	True	True	True	True	0.1842	sha256:f137d104dba11a5e517eb025318c6ec666113fcde0d3e84703dca6e837673c3c	sha256:67a98c81b441b984461c4f8bdd306d7098377bd0d88bfcf195354676f47b800f	sha256:de7268e1e1b69424743046a4235eb73960b44825e909bee06d92883239079176
TD-AP02	guided-lab	2318	5	True	True	True	True	True	0.1972	sha256:604d82f2e6b2b9588de7818f9c21bc04ad9cb4741c928709f0f1cb3e77b76ee2	sha256:287c6a9d10151cede6e55d87816b861e25bcad155370b80818e0bd2c0e1089f1	sha256:87d00a818a8c44c80c3ac75f0ef2fc8a2c1951007079b906e2d2f49a0a793f80
TD-AP03	guided-lab	2278	5	True	True	True	True	True	0.2059	sha256:3206a7ed45d5faaf7bbf706331bc44168877b73fa425166fc03f3d84a2947590	sha256:9367f794a32e5762fd904da6df77631101a0cf50f6d92cbe5945c393001a72e2	sha256:4589c0d25300f03974552b29f6436458144fe50ed9baef319093ce73e3f07d2b
TD-AP04	guided-lab	2350	5	True	True	True	True	True	0.2059	sha256:1257da542e958d64a71665fe8fbae90e4089d7fb9c4b8c26f31a2a0d7020b9d9	sha256:b43f1f55dc7f5ead9e2b8dd54212bdd5e9ec85fb4d231fe2ef70c1e91025470d	sha256:ed76e7e86c03ad9099906d2db09e68fdbcab7d4d1f40293cf293faf2570319fc
TD-AP05	project	2231	5	True	True	True	True	True	0.209	sha256:6d118543a3488c52a38adb21f78262401dd37854d802d8702fbbbdb964085198	sha256:f1fc1023e90114b8a60805ba26e80c48916954a21be68f6043a18cf69d297f6f	sha256:2de155729350e9df69615208df1dd816da5a730cf9ff54d3eaf8c3bcbe4e568b
TD-AP06	guided-lab	2344	5	True	True	True	True	True	0.2059	sha256:65b9fe1b30902bb0cc29f39bbc31634ba956b25deee2ed39e3d3743d9fe5b88b	sha256:19b631b5d423884fb5c4cc95e812213c8ccf16716434ec02901c8f0612d2aef8	sha256:06139038ec69b48d7f7ff9c28b5335cfd75a83e91e90cb3f9f8cfb8772765634
TD-AP07	guided-lab	2345	5	True	True	True	True	True	0.1795	sha256:8430619f4055d277f5e7fe32b2b594a9978c872afe952981be51f0c9940be6dc	sha256:fc51eba448e0ff61deb8fb64de9381457a01ce1f5a3161892469b7e512b5eca4	sha256:35e45bc9db11628a442e774ca00de96d938c43e659dfe43ffaed446d20f9e3a2
TD-AP08	project	2320	5	True	True	True	True	True	0.1892	sha256:797b1ac59028fa83e3e4eb7f4ca0d9e8a1a9d77b7b1b880d39f5e1ad6c3811c2	sha256:867f12e91455553f93f02bdf3bdf86009f6e1dc64c87bb7e2453fb152bd6ce79	sha256:50abc990bbb3f5a0a836dfea48557708b2e8ef9307e64471bf4062e32dbc267b
TD-AG-00	concept	3070	5	True	True	True	True	True	0.1515	sha256:04f3a85472f90ae1a0850677e09471e9ec076ae2ed9ff8024386bc742e7c6942	sha256:4232d11e7cc7a1bb1b118801e098258a9a496ea7356e7d1dbab82cc0d8f4d053	sha256:8328e0ecc21b9ec614750b7c76d279c6de3657cc960b469b02e717da5cf13bbd
TD-AG-01	guided-lab	3142	5	True	True	True	True	True	0.1389	sha256:5f334a46d09d2de02112178e977f16eacbe12f244ef51b399b1ec68a5f1b16e2	sha256:e026f672b663599a13c16c1e5886611f442b0494287e59db2297cb62f859727f	sha256:3a000e225e30026a37ac13a049c34d9390549504ffa2b8a7c1c79109a2bd226a
TD-AG-02	guided-lab	2974	5	True	True	True	True	True	0.1449	sha256:fd475fb64804dbb5240959666a5ca7e1758c44a28f9fac9008b902f7f1a137bf	sha256:2f38697d097ad56a79ed21a2cf4f9f0110dcda1d59f118a214313cd26a974d12	sha256:dadfccd411c58bde1cc09335750d4609ca9b411cfd9796e7124b8d7127cd9b8b
TD-AG-03	guided-lab	3106	5	True	True	True	True	True	0.1467	sha256:66ce5f6ad8f0983184b187f1d679d5c3d256a1d17fd94923a5649cd0737c2949	sha256:07b841cc77a25b432b2404acf2ee60c0a5f75509c1b2b1b0666eb634285ea9cb	sha256:d25fba646a1737bfe3f59f893959e9ef20d1580e5da21276969dab66d78d393e
TD-AG-04	guided-lab	3116	5	True	True	True	True	True	0.1392	sha256:b4e7bbeedf901dce1606f941a21d184b2fa3c38ceb644140fceecafb9949934e	sha256:4a7b23d01a4807250d2d0847793c2949b9efbcab8540afe0714d04e37f008c68	sha256:c4ca69b42bdc74b3aa3c65312024802e9f94f1051e0ebde820aaf9f34f8ea4c0
TD-AG-05	project	2840	5	True	True	True	True	True	0.1429	sha256:e03b4500bf8025ad6e6db1744c07e0f6179e572e4e9ea31694df8219bc90c2b6	sha256:42ab74d88f78467af0156e90a34059d62debb2bc796798521d91d204dcc3a363	sha256:26291ef3976fcabc5d4e97dd17d5a15be14c07e99326c4548a3e6cfc23db82c5
TD-AG-06	project	3190	5	True	True	True	True	True	0.1351	sha256:5955328399a678825e058f702964150ab8bdb64c821533b1a844b06104d63bdf	sha256:7986fdbe5bf85fcff09e9746035ffc0088572c004d697bf93f0c0c0ce2a1f2fb	sha256:645c2a958496a6130c496d3cd6d58a1f06c5ebb48d0e384cc567d64be98e853e
TD-AG-07	project	2883	5	True	True	True	True	True	0.1449	sha256:69923d274a21beb6d7b72b0d2cf16fb8e04104319d515059fddbe3dc55ac0bba	sha256:d830eeaf7bfd55da8b5b8893dbd4258a3cc83d918da411e0cf82a5d4cbb5ef46	sha256:ebd6f97c6e4e28d015feb164e7c082d6c88258a9a9d70c1bb3ac7109da4a2358
TD-AG-08	project	3017	5	True	True	True	True	True	0.1486	sha256:922ad0e620f535712d08658c16773632b19cbd033631349d3ba98de8e942c954	sha256:ab1de93f62b1d042f70056048716f97194019ce4d2db2e1345ea62590d8c70cd	sha256:c9cd4a1bba9bb5b1f947c4234aaed1d4d7f4a64622a348ec25b13e8dd3cf751c
TD-AG-09	project	2883	5	True	True	True	True	True	0.1471	sha256:acac9d95545f5250c384c55a1fc1e10883ea1f9d02372c88b3b1ef2b9aea38f0	sha256:527c0080d77f29cbb46dd3c5b24a3fe062fc8b60adb2dbf167e561ee2eb14f2c	sha256:d41bfac3631e51d726c0587bc71c79e21fc2a699d1d0d0d09e913349122d2d19
TD-AG-10	project	2856	5	True	True	True	True	True	0.1471	sha256:03c0d2a4792e174fa8652dfab5084e6671d08f46fd28aa5d3bdaf335e48a6f0f	sha256:abc32ed588b73ec5a5022f81b50f35bcc67d201834c82078f9c0b5ddb8928818	sha256:1124607325d17b57b1d41a530b6ebaa48b988c7b56483015d71290088b9de299
